entry	name	minlevel	maxlevel	exp	unit_class	rank	HealthModifier	DamageModifier	BaseAttackTime	BaseVariance	basehp0	basehp1	basehp2	attackpower	damage_base	damage_exp1	damage_exp2
1853	Darkmaster Gandling	61	61	0	2	1	20	2.3	2000	1	2515	4126	1	244	31.837	58.3279	58.3279
10405	Plague Ghoul	57	58	0	1	1	3	3.5	1800	1	2871	3989	5742	242	32.5967	40.2143	40.2143
10406	Ghoul Ravener	58	59	0	1	1	3	3.5	1400	1	2961	4142	1	248	33.2007	43.2857	43.2857
10407	Fleshflayer Ghoul	59	60	0	1	1	3	3.5	2000	1	3052	4979	1	252	33.9625	53.4755	53.4755
10440	Baron Rivendare	62	62	0	2	1	18	3.5	2000	1	2590	4274	1	246	32.6201	62.4676	62.4676
10813	Balnazzar	62	62	0	2	1	12	9	2000	1	2590	4274	1	246	32.6201	62.4676	62.4676
11501	King Gordok	62	62	0	1	1	9	6	2000	1	3237	5341	1	262	35.2381	67.4442	67.4442
11583	Nefarian	63	63	0	1	3	650	35	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
11658	Molten Giant	62	62	0	1	1	40	15	2000	1	3237	5341	1	262	35.2381	67.4442	67.4442
11659	Molten Destroyer	63	63	0	1	1	45	16	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
11982	Magmadar	63	63	0	1	3	248	17	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
11988	Golemagg the Incinerator	63	63	0	1	3	248	20	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12057	Garr	63	63	0	1	3	198	18	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12460	Death Talon Wyrmguard	63	63	0	1	1	65	25	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12463	Death Talon Flamescale	62	62	0	1	1	40	18	2000	1	3237	5341	1	262	35.2381	67.4442	67.4442
12467	Death Talon Captain	62	62	0	1	1	75	24	2400	1	3237	5341	1	262	35.2381	67.4442	67.4442
14020	Chromaggus	63	63	0	1	3	550	30	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
14601	Ebonroc	63	63	0	1	3	300	25	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
15952	Maexxna	83	83	2	1	3	180	35	1800	1	5808	11570	13945	805	49.2375	136.562	177.074
15956	Anub'Rekhan	83	83	2	1	3	160	35	2000	1	5808	11570	13945	805	49.2375	136.562	177.074
16017	Patchwork Golem	81	81	2	1	1	11	7.5	2000	1	5492	9474	13033	708	47.9043	132.978	168.974
16028	Patchwerk	83	83	2	1	3	310	35	750	1	5808	11570	13945	805	49.2375	136.562	177.074
16029	Sludge Belcher	82	82	2	1	1	10	7.5	2500	1	5647	9741	13481	782	48.5709	134.77	173.024
26861	King Ymiron	82	82	2	1	1	30	7.5	2000	1	5647	9741	13481	782	48.5709	134.77	173.024
28578	Hardened Steel Reaver	79	79	2	1	1	4	7.5	2000	1	5194	8960	12175	582	46.5711	129.394	160.258
28579	Hardened Steel Berserker	79	80	2	1	1	4	7.5	2000	1	5342	9215	12600	642	47.2377	131.186	164.924
28923	Loken	81	81	2	1	1	30	7.5	2000	1	5492	9474	13033	708	47.9043	132.978	168.974
29249	Anub'Rekhan (1)	83	83	2	1	3	485	70	2000	1	5808	11570	13945	805	49.2375	136.562	177.074
29278	Maexxna (1)	83	83	2	1	3	545	70	1800	1	5808	11570	13945	805	49.2375	136.562	177.074
29324	Patchwerk (1)	83	83	2	1	3	935	70	1200	1	5808	11570	13945	805	49.2375	136.562	177.074
29347	Patchwork Golem (1)	81	81	2	1	1	30	13	2000	1	5492	9474	13033	708	47.9043	132.978	168.974
29356	Sludge Belcher (1)	82	82	2	1	1	25	13	2500	1	5647	9741	13481	782	48.5709	134.77	173.024
30788	King Ymiron (1)	82	82	2	1	1	42	13	2000	1	5647	9741	13481	782	48.5709	134.77	173.024
30966	Hardened Steel Berserker (1)	80	81	2	1	1	5	13	2000	1	5492	9474	13033	708	47.9043	132.978	168.974
30967	Hardened Steel Reaver (1)	80	81	2	1	1	5	13	2000	1	5492	9474	13033	708	47.9043	132.978	168.974
31368	Gal'darah (1)	82	82	2	1	1	38	13	2000	1	5647	9741	13481	782	48.5709	134.77	173.024
31386	Sjonnir The Ironshaper (1)	82	82	2	1	1	35	13	1200	1	5647	9741	13481	782	48.5709	134.77	173.024
31538	Loken (1)	82	82	2	1	1	38	13	2000	1	5647	9741	13481	782	48.5709	134.77	173.024
36938	Scourgelord Tyrannus (1)	82	82	2	1	1	80	13	2000	1	5647	9741	13481	782	48.5709	134.77	173.024
37504	Festergut (1)	83	83	2	1	3	2900	122.6	0	1	5808	11570	13945	805	49.2375	136.562	177.074
37613	Forgemaster Garfrost (1)	82	82	2	1	1	48	13	2000	1	5647	9741	13481	782	48.5709	134.77	173.024
37627	Ick (1)	82	82	2	1	1	67	13	1500	1	5647	9741	13481	782	48.5709	134.77	173.024
37957	Lord Marrowgar (1)	83	83	2	1	3	1700	234	1000	1	5808	11570	13945	805	49.2375	136.562	177.074
