entry	name	minlevel	maxlevel	exp	unit_class	rank	dmgschool	HealthModifier	DamageModifier	BaseAttackTime	BaseVariance	basehp0	basehp1	basehp2	attackpower	damage_base	damage_exp1	damage_exp2
9816	Pyroguard Emberseer	60	60	0	1	1	0	8	3.5	2000	1	3052	4979	1	252	33.9625	53.4755	53.4755
10264	Solakar Flamewreath	60	60	0	1	1	0	8	3.5	2000	1	3052	4979	1	252	33.9625	53.4755	53.4755
10339	Gyth	62	62	0	1	1	0	10	3.5	2000	1	3237	5341	1	262	35.2381	67.4442	67.4442
10363	General Drakkisath	62	62	0	1	1	0	25	3.5	2000	1	3237	5341	1	262	35.2381	67.4442	67.4442
10429	Warchief Rend Blackhand	62	62	0	1	1	0	10	6.5	2400	1	3237	5341	1	262	35.2381	67.4442	67.4442
10430	The Beast	62	62	0	1	3	0	25	3.5	2000	1	3237	5341	1	262	35.2381	67.4442	67.4442
10509	Jed Runewatcher	59	59	0	1	2	0	3	7.5	2000	1	2961	4142	1	248	33.2007	43.2857	43.2857
10899	Goraluk Anvilcrack	61	61	0	1	2	0	4	3.5	2000	1	3144	5158	1	258	34.5714	61.2729	61.2729
11502	Ragnaros	63	63	0	1	3	0	330	13	2800	1	3331	5527	1	268	35.775	71.4361	71.4361
11583	Nefarian	63	63	0	1	3	0	650	35	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
11981	Flamegor	63	63	0	1	3	0	300	25	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
11982	Magmadar	63	63	0	1	3	0	248	17	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
11983	Firemaw	63	63	0	1	3	0	300	25	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
11988	Golemagg the Incinerator	63	63	0	1	3	0	248	20	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12017	Broodlord Lashlayer	63	63	0	1	3	0	275	25	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12018	Majordomo Executus	63	63	0	1	3	0	200	14	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12056	Baron Geddon	63	63	0	1	3	2	176	14	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12057	Garr	63	63	0	1	3	0	198	18	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12098	Sulfuron Harbinger	63	63	0	1	3	0	132	16	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
12118	Lucifron	63	63	0	2	3	0	132	16	2000	1	2665	4422	1	252	33.1092	66.121	66.121
12259	Gehennas	63	63	0	2	3	0	132	16	2000	1	2665	4422	1	252	33.1092	66.121	66.121
12264	Shazzrah	63	63	0	2	3	0	132	16	2000	1	2665	4422	1	252	33.1092	66.121	66.121
12435	Razorgore the Untamed	63	63	0	1	3	0	135	22	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
13020	Vaelastrasz the Corrupt	63	63	0	1	3	0	1000	35	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
14020	Chromaggus	63	63	0	1	3	0	550	30	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
14601	Ebonroc	63	63	0	1	3	0	300	25	2000	1	3331	5527	1	268	35.775	71.4361	71.4361
