entry	name	Quality	subclass
22459	Void Sphere	4	8
22460	Prismatic Sphere	3	8
23094	Teardrop Blood Garnet	2	0
23095	Bold Blood Garnet	2	0
23096	Runed Blood Garnet	2	0
23097	Delicate Blood Garnet	2	0
23098	Inscribed Flame Spessarite	2	5
23099	Luminous Flame Spessarite	2	5
23100	Glinting Flame Spessarite	2	5
23101	Potent Flame Spessarite	2	5
23103	Radiant Deep Peridot	2	4
23104	Jagged Deep Peridot	2	4
23105	Enduring Deep Peridot	2	4
23106	Dazzling Deep Peridot	2	4
23108	Glowing Shadow Draenite	2	3
23109	Royal Shadow Draenite	2	3
23110	Shifting Shadow Draenite	2	3
23111	Sovereign Shadow Draenite	2	3
23113	Brilliant Golden Draenite	2	2
23114	Gleaming Golden Draenite	2	2
23115	Thick Golden Draenite	2	2
23116	Rigid Golden Draenite	2	2
23118	Solid Azure Moonstone	2	1
23119	Sparkling Azure Moonstone	2	1
23120	Stormy Azure Moonstone	2	1
23121	Lustrous Azure Moonstone	2	1
24027	Bold Living Ruby	3	0
24028	Delicate Living Ruby	3	0
24029	Teardrop Living Ruby	3	0
24030	Runed Living Ruby	3	0
24031	Bright Living Ruby	3	0
24032	Subtle Living Ruby	3	0
24033	Solid Star of Elune	3	1
24035	Sparkling Star of Elune	3	1
24036	Flashing Living Ruby	3	0
24037	Lustrous Star of Elune	3	1
24039	Stormy Star of Elune	3	1
24047	Brilliant Dawnstone	3	2
24048	Smooth Dawnstone	3	2
24050	Gleaming Dawnstone	3	2
24051	Rigid Dawnstone	3	2
24052	Thick Dawnstone	3	2
24053	Mystic Dawnstone	3	2
24054	Sovereign Nightseye	3	3
24055	Shifting Nightseye	3	3
24056	Glowing Nightseye	3	3
24057	Royal Nightseye	3	3
24058	Inscribed Noble Topaz	3	5
24059	Potent Noble Topaz	3	5
24060	Luminous Noble Topaz	3	5
24061	Glinting Noble Topaz	3	5
24062	Enduring Talasite	3	4
24065	Dazzling Talasite	3	4
24066	Radiant Talasite	3	4
24067	Jagged Talasite	3	4
25890	Destructive Skyfire Diamond	3	6
25893	Mystical Skyfire Diamond	3	6
25894	Swift Skyfire Diamond	3	6
25895	Enigmatic Skyfire Diamond	3	6
25896	Powerful Earthstorm Diamond	3	6
25897	Bracing Earthstorm Diamond	3	6
25898	Tenacious Earthstorm Diamond	3	6
25899	Brutal Earthstorm Diamond	3	6
25901	Insightful Earthstorm Diamond	3	6
28290	Smooth Golden Draenite	2	2
28595	Bright Blood Garnet	2	0
31860	Great Golden Draenite	2	2
31861	Great Dawnstone	3	2
31862	Balanced Shadow Draenite	2	3
31863	Balanced Nightseye	3	3
31864	Infused Shadow Draenite	2	3
31865	Infused Nightseye	3	3
31866	Veiled Flame Spessarite	2	5
31867	Veiled Noble Topaz	3	5
31868	Wicked Noble Topaz	3	5
31869	Wicked Flame Spessarite	2	5
32193	Bold Crimson Spinel	4	0
32194	Delicate Crimson Spinel	4	0
32195	Teardrop Crimson Spinel	4	0
32196	Runed Crimson Spinel	4	0
32197	Bright Crimson Spinel	4	0
32198	Subtle Crimson Spinel	4	0
32199	Flashing Crimson Spinel	4	0
32200	Solid Empyrean Sapphire	4	1
32201	Sparkling Empyrean Sapphire	4	1
32202	Lustrous Empyrean Sapphire	4	1
32203	Stormy Empyrean Sapphire	4	1
32204	Brilliant Lionseye	4	2
32205	Smooth Lionseye	4	2
32206	Rigid Lionseye	4	2
32207	Gleaming Lionseye	4	2
32208	Thick Lionseye	4	2
32209	Mystic Lionseye	4	2
32210	Great Lionseye	4	2
32211	Sovereign Shadowsong Amethyst	4	3
32212	Shifting Shadowsong Amethyst	4	3
32213	Balanced Shadowsong Amethyst	4	3
32214	Infused Shadowsong Amethyst	4	3
32215	Glowing Shadowsong Amethyst	4	3
32216	Royal Shadowsong Amethyst	4	3
32217	Inscribed Pyrestone	4	5
32218	Potent Pyrestone	4	5
32219	Luminous Pyrestone	4	5
32220	Glinting Pyrestone	4	5
32221	Veiled Pyrestone	4	5
32222	Wicked Pyrestone	4	5
32223	Enduring Seaspray Emerald	4	4
32224	Radiant Seaspray Emerald	4	4
32225	Dazzling Seaspray Emerald	4	4
32226	Jagged Seaspray Emerald	4	4
32409	Relentless Earthstorm Diamond	3	6
32410	Thundering Skyfire Diamond	3	6
32833	Purified Jaggal Pearl	2	3
32836	Purified Shadow Pearl	3	3
33782	Steady Talasite	3	4
34220	Chaotic Skyfire Diamond	3	6
34831	Eye of the Sea	3	1
35315	Quick Dawnstone	3	2
35316	Reckless Noble Topaz	3	5
35318	Forceful Talasite	3	4
35501	Eternal Earthstorm Diamond	3	6
35503	Ember Skyfire Diamond	3	6
35707	Regal Nightseye	3	3
35758	Steady Seaspray Emerald	4	4
35759	Forceful Seaspray Emerald	4	4
35760	Reckless Pyrestone	4	5
35761	Quick Lionseye	4	2
